,Stock,Coefficient
0,A,5.8009217266538755
1,AA,-17.896100849609727
2,AABA,-3.430004074437338
3,AAL,-7.836029905600677
4,AAOI,-34.99176326507394
5,AAP,13.704306141082249
6,AAPL,-2.987354014926879
7,AAXN,-4.799573029202394
8,AB,1.7446709358967696
9,ABB,-6.464932884076652
10,ABBV,-6.326409303841821
11,ABC,-3.1511554268840216
12,ABEO,-27.15727975595496
13,ABEV,-0.5477986840555776
14,ABMD,-5.030882023423899
15,ABT,8.710723616750156
16,ACAD,9.609761723778641
17,ACC,4.4582970115031495
18,ACIA,15.390960297578419
19,ACIW,9.157027804530816
20,ACLS,-3.6847352156705577
21,ACM,-4.7245854657158945
22,ACN,0.0473320223051381
23,ACOR,-18.756104766854975
24,ADAP,-25.80060531515946
25,ADBE,2.103441719469997
26,ADDYY,-0.9250474550018513
27,ADI,2.1137384339047633
28,ADM,-2.2265603823008577
29,ADNT,-25.101887323619266
30,ADP,6.654672217050068
31,ADSK,4.899293019918359
32,ADUS,7.72545135322914
33,ADXS,-32.20391926423948
34,AEE,7.874670380490792
35,AEM,-1.5442652152206289
36,AEO,-5.212728076079933
37,AEP,6.501991646095712
38,AER,-6.644139342651029
39,AES,14.816501414169391
40,AFL,2.418118230143389
41,AG,-0.2861560251817268
42,AGCO,0.21854512119086347
43,AGEN,-0.1251603086103026
44,AGIO,-14.775196864847883
45,AGLE,-0.5848620811923394
46,AGN,-3.946895088059072
47,AGNC,-2.432129527151552
48,AGO,5.235996886152094
49,AGR,-1.4101957226266515
50,AGRO,-0.38043830193446554
51,AIG,-9.034805546582904
52,AIMT,-8.513663016688575
53,AJG,5.089750294269105
54,AKAM,-4.130817224591661
55,AKRX,-25.547768525692828
56,AKS,-0.6796180829910511
57,ALB,-5.277689074117815
58,ALDR,-9.372533764102565
59,ALE,2.370098476044285
60,ALGN,-12.409258768838582
61,ALGT,-5.5761105991812725
62,ALK,-0.8621672346889034
63,ALKS,-9.972495803049439
64,ALL,-2.2028224064227953
65,ALLE,3.1210154855423773
66,ALLY,-1.585073701156596
67,ALNY,-6.748075906186546
68,ALRM,16.820997914539415
69,ALSN,4.928085638987978
70,ALV,-10.482468343630915
71,ALXN,1.9999948819871638
72,AMAG,-14.359741705766947
73,AMAT,-10.874006917799202
74,AMBA,-5.67632909947799
